timestamp,tempC,light_raw
2026-08-20 09:00:00,27.04,605
2026-08-20 09:00:05,27.11,597
2026-08-20 09:00:10,27.03,605
2026-08-20 09:00:15,26.91,613
2026-08-20 09:00:20,27.03,600
2026-08-20 09:00:25,27.06,586
2026-08-20 09:00:30,26.92,577
2026-08-20 09:00:35,26.84,581
2026-08-20 09:00:40,26.69,572
2026-08-20 09:00:45,26.76,579
2026-08-20 09:00:50,26.77,571
2026-08-20 09:00:55,26.76,564
2026-08-20 09:01:00,26.85,549
2026-08-20 09:01:05,26.93,539
2026-08-20 09:01:10,26.99,534
2026-08-20 09:01:15,26.92,525
2026-08-20 09:01:20,27.06,520
2026-08-20 09:01:25,26.94,517
2026-08-20 09:01:30,26.82,529
2026-08-20 09:01:35,26.77,522
2026-08-20 09:01:40,26.86,530
2026-08-20 09:01:45,26.85,518
2026-08-20 09:01:50,26.99,515
2026-08-20 09:01:55,26.87,509
2026-08-20 09:02:00,26.96,513
2026-08-20 09:02:05,27.08,509
2026-08-20 09:02:10,27.10,516
2026-08-20 09:02:15,26.97,522
2026-08-20 09:02:20,26.89,516
2026-08-20 09:02:25,27.04,528
2026-08-20 09:02:30,26.96,516
2026-08-20 09:02:35,26.92,515
2026-08-20 09:02:40,26.96,511
2026-08-20 09:02:45,26.86,507
2026-08-20 09:02:50,26.77,500
2026-08-20 09:02:55,26.83,506
2026-08-20 09:03:00,26.88,510
2026-08-20 09:03:05,26.92,512
2026-08-20 09:03:10,26.99,502
2026-08-20 09:03:15,26.98,495
2026-08-20 09:03:20,27.12,500
2026-08-20 09:03:25,27.18,492
2026-08-20 09:03:30,27.24,503
2026-08-20 09:03:35,27.32,489
2026-08-20 09:03:40,27.23,475
2026-08-20 09:03:45,27.33,472
2026-08-20 09:03:50,27.26,463
2026-08-20 09:03:55,27.38,466
2026-08-20 09:04:00,27.49,461
2026-08-20 09:04:05,27.41,461
2026-08-20 09:04:10,27.38,475
2026-08-20 09:04:15,27.42,464
2026-08-20 09:04:20,27.35,456
2026-08-20 09:04:25,27.42,458
2026-08-20 09:04:30,27.35,461
2026-08-20 09:04:35,27.33,464
2026-08-20 09:04:40,27.30,456
2026-08-20 09:04:45,27.45,445
2026-08-20 09:04:50,27.45,432
2026-08-20 09:04:55,27.53,444
2026-08-20 09:05:00,27.41,449
2026-08-20 09:05:05,27.31,455
2026-08-20 09:05:10,27.29,442
2026-08-20 09:05:15,27.25,446
2026-08-20 09:05:20,27.40,447
2026-08-20 09:05:25,27.33,449
2026-08-20 09:05:30,27.43,434
2026-08-20 09:05:35,27.49,422
2026-08-20 09:05:40,27.54,424
2026-08-20 09:05:45,27.62,433
2026-08-20 09:05:50,27.66,421
2026-08-20 09:05:55,27.60,411
2026-08-20 09:06:00,27.58,426
2026-08-20 09:06:05,27.65,434
2026-08-20 09:06:10,27.58,435
2026-08-20 09:06:15,27.66,436
2026-08-20 09:06:20,27.78,448
2026-08-20 09:06:25,27.82,459
2026-08-20 09:06:30,27.86,463
2026-08-20 09:06:35,27.77,459
2026-08-20 09:06:40,27.85,461
2026-08-20 09:06:45,27.99,475
2026-08-20 09:06:50,27.99,460
2026-08-20 09:06:55,28.02,460
2026-08-20 09:07:00,27.88,474
2026-08-20 09:07:05,27.84,485
2026-08-20 09:07:10,27.93,477
2026-08-20 09:07:15,27.80,490
2026-08-20 09:07:20,27.82,477
2026-08-20 09:07:25,27.69,477
2026-08-20 09:07:30,27.79,486
2026-08-20 09:07:35,27.80,475
2026-08-20 09:07:40,27.69,475
2026-08-20 09:07:45,27.82,465
2026-08-20 09:07:50,27.75,477
2026-08-20 09:07:55,27.78,492
2026-08-20 09:08:00,27.70,494
2026-08-20 09:08:05,27.77,501
2026-08-20 09:08:10,27.68,495
2026-08-20 09:08:15,27.65,501
2026-08-20 09:08:20,27.70,500
2026-08-20 09:08:25,27.82,499
2026-08-20 09:08:30,27.70,491
2026-08-20 09:08:35,27.57,476
2026-08-20 09:08:40,27.60,468
2026-08-20 09:08:45,27.63,453
2026-08-20 09:08:50,27.50,458
2026-08-20 09:08:55,27.37,445
2026-08-20 09:09:00,27.49,457
2026-08-20 09:09:05,27.44,458
2026-08-20 09:09:10,27.36,464
2026-08-20 09:09:15,27.35,466
2026-08-20 09:09:20,27.24,480
2026-08-20 09:09:25,27.36,483
2026-08-20 09:09:30,27.35,493
2026-08-20 09:09:35,27.34,491
2026-08-20 09:09:40,27.25,479
2026-08-20 09:09:45,27.30,475
2026-08-20 09:09:50,27.27,474
2026-08-20 09:09:55,27.38,460
